ID                      GAIA_ID     PERIOD  PARALX   VMAG     BV    EBV
UU_Mus      5332375453374624640   11.63640   0.264   9.78   1.15   0.41
FG_Vel      5312196047720402048    6.45320   0.275  11.81   1.49   0.85
DF_Cas       465719182408723072    3.83250   0.307  10.85   1.18   0.60
AE_Vel      5309174967720762496    7.13360   0.312  10.26   1.24   0.67
YZ_Car      5255254711361371520   18.16800   0.320   8.71   1.12   0.40
HW_Car      5254097093074642944    9.19940   0.328   9.16   1.05   0.19
XY_Car      5240441472232302848   12.43480   0.330   9.29   1.21   0.42
VX_Per       506779550797525760   10.88900   0.330   9.31   1.16   0.52
BK_Cen      5333259323269569792    3.17390   0.335  10.01   0.89   0.33
GZ_Car      5255066591776722432    4.15890   0.345  10.26   0.98   0.42
VX_Cyg      1873250780732545920   20.13340   0.350  10.07   1.70   0.79
GH_Car      5337634589276921856    5.72560   0.355   9.18   0.93   0.41
DW_Cas      2011315528113463808    4.99780   0.355  11.11   1.48   0.88
GX_Car      5257664497238811776    7.19670   0.355   9.36   1.04   0.41
FM_Cas       422226488141991296    5.80930   0.359   9.13   0.99   0.35
SZ_Cyg      2071433765909167232   15.10970   0.362   9.43   1.48   0.63
CN_Car      5258574068220187648    4.93260   0.365  10.70   1.09   0.42
UY_Per       458239995077788544    5.36510   0.366  11.34   1.48   0.92
SV_Vul      2027951173435143680   44.99300   0.373   7.22   1.44   0.57
UZ_Car      5254295559276699392    5.20470   0.374   9.32   0.88   0.19
BP_Cas       525136962570940160    6.27270   0.374  10.92   1.55   0.95
CY_Car      5338024572321721216    4.26590   0.374   9.78   0.95   0.39
WW_Car      5338438297925480320    4.67680   0.375   9.74   0.89   0.40
CD_Cyg      2058374144759464064   17.07400   0.381   8.95   1.27   0.51
CD_Cas      2016028168089215488    7.80090   0.383  10.74   1.45   0.82
V459_Cyg    2165771172070496512    7.25130   0.387  10.60   1.44   0.80
DR_Vel      5313887130948758016   11.19930   0.391   9.52   1.52   0.69
VY_Per       459035766618689280    5.53180   0.394  11.26   1.54   0.94
SY_Cas       422923956470923008    4.07110   0.399   9.87   0.99   0.46
V402_Cyg    2060021625508894592    4.36480   0.399   9.87   1.01   0.42
SY_Nor      5884729035255064064   12.64520   0.400   9.51   1.34   0.79
GH_Cyg      2030063919381336832    7.81790   0.400   9.92   1.27   0.66
Y_Lac       1977074811892425600    4.32380   0.403   9.15   0.73   0.22
XY_Cas       426881614218441600    4.50170   0.403   9.94   1.15   0.56
SV_Vel      5351331755370445056   14.09700   0.406   8.52   1.05   0.39
ST_Vel      5327836325732931840    5.85840   0.407   9.70   1.20   0.50
SW_Cas      2010285491880986112    5.44090   0.413   9.71   1.08   0.49
BR_Vul      1827869808377481216    5.19720   0.419  10.69   1.47   0.91
DL_Cas       428620663657823232    8.00070   0.422   8.97   1.15   0.53
XZ_Car      5338036117182452096   16.64990   0.424   8.60   1.27   0.37
VZ_Cyg      1960750328384177408    4.86450   0.435   8.96   0.88   0.29
V_Lac       2003938801532007808    4.98350   0.437   8.94   0.87   0.36
V496_Cen    6055722403534963840    4.42420   0.446   9.97   1.17   0.57
VY_Cyg      1873112207907294848    7.85700   0.446   9.59   1.22   0.65
BZ_Cyg      2070224337474904064   10.14190   0.447  10.21   1.57   0.93
Z_Lac       2007201567928631296   10.88560   0.458   8.41   1.09   0.40
U_Car       5338359442320395904   38.82900   0.479   6.29   1.18   0.28
RZ_CMa      3027940437469882880    4.25480   0.492   9.70   1.00   0.46
V339_Cen    5854560115494081024    9.46600   0.496   8.75   1.19   0.43
X_Lac       2004036486267748352    5.44500   0.496   8.41   0.90   0.36
KQ_Sco      5964193485048327808   28.70500   0.504   9.81   1.93   0.90
BG_Lac      1960981328902089088    5.33190   0.509   8.88   0.95   0.34
VY_Car      5351161399785606016   18.89000   0.512   7.44   1.17   0.24
AS_Per       270272675510149504    4.97250   0.521   9.72   1.30   0.71
X_Cru       6059764002146656128    6.22000   0.524   8.40   1.00   0.29
V520_Cyg    2166861170366710272    4.04910   0.528  10.85   1.35   0.80
V514_Cyg    2166303099490547072    5.09890   0.528  11.43   1.67   1.14
XX_Cen      5871922507947292032   10.95430   0.537   7.82   0.98   0.26
RX_Aur       200708636406382720   11.62350   0.543   7.66   1.01   0.28
GU_Nor      5932997939411720960    3.45300   0.547  10.41   1.27   0.68
RZ_Vel      5523162573544337408   20.39820   0.547   7.08   1.12   0.34
AY_Cen      5334506135119058304    5.30980   0.549   8.83   1.01   0.31
V600_Aql    4307944836090489600    7.23890   0.554  10.04   1.46   0.87
V378_Cen    5868480143187802240    6.45970   0.557   8.46   1.03   0.40
UX_Car      5351721738384434048    3.68220   0.561   8.31   0.63   0.12
AT_Pup      5541507237862358912    6.66500   0.568   7.96   0.78   0.18
RS_Pup      5546476927338700416   41.44300   0.584   6.95   1.39   0.45
RS_Cas      2015820463470505600    6.29600   0.588   9.93   1.49   0.88
RY_CMa      3046774762417915136    4.67830   0.616   8.11   0.85   0.25
AG_Cru      6059635702888301952    3.83730   0.621   8.22   0.74   0.21
CR_Cep      2008504454839717120    6.23300   0.679   9.66   1.40   0.76
RT_Mus      5235910694044165760    3.08610   0.681   9.02   0.83   0.33
FN_Aql      4269036830424588800    9.48150   0.690   8.38   1.21   0.51
MW_Cyg      2055014277739104896    5.95460   0.697   9.49   1.32   0.68
XX_Sgr      4096979650282842112    6.42430   0.702   8.85   1.11   0.54
IT_Car      5337191279923824384    7.53320   0.704   8.10   0.99   0.19
V_Car       5302258008774271488    6.69670   0.760   7.36   0.87   0.17
TX_Cyg      2161786374436607616   14.70980   0.781   9.51   1.78   1.18
RX_Cam       470361114339849472    7.91200   0.782   7.68   1.19   0.57
VW_Cru      6053622679932061056    5.26520   0.783   9.62   1.31   0.68
ER_Car      5339394082770287232    7.71850   0.796   6.82   0.87   0.10
X_Vul       2027263738130844288    6.31960   0.841   8.85   1.39   0.85
T_Vel       5521459979795304320    4.63970   0.852   8.02   0.92   0.28
U_TrA       5829232354047904256    2.56840   0.877   7.88   0.61   0.09
V386_Cyg    1968971582984827136    5.25760   0.896   9.63   1.49   0.90
X_Cyg       1870258975238302208   16.38630   0.898   6.39   1.13   0.29
TU_Cas       394818721274314112    2.13930   0.915   7.73   0.58   0.12
V496_Aql    4204653587029046400    6.80700   0.944   7.75   1.15   0.41
R_Mus       5855468247702904704    7.51020   1.000   6.30   0.76   0.12
BG_Vel      5324034867356093056    6.92370   1.007   7.63   1.18   0.45
V737_Cen    5877533315817003648    7.06590   1.015   6.72   1.00   0.22
S_Cru       6060173364061645696    4.69000   1.021   6.60   0.76   0.16
AW_Per       174489098011145216    6.46360   1.042   7.49   1.05   0.53
U_Vul       1825621002188696448    7.99070   1.053   7.13   1.27   0.65
S_Nor       5835124087174043136    9.75410   1.062   6.39   0.94   0.19
S_TrA       5823134325151372032    6.32340   1.075   6.40   0.75   0.10
RV_Sco      6026412893938675712    6.06130   1.131   7.04   0.95   0.34
T_Cru       6054829806275577216    6.73330   1.140   6.57   0.92   0.19
SU_Cyg      2031776202613700480    3.84550   1.170   6.86   0.57   0.10
BB_Sgr      4085919765884068736    6.63700   1.248   6.95   0.99   0.28
MY_Pup      5506374096132016512    5.69480   1.261   5.68   0.63   0.06
V_Cen       5891675303053080704    5.49390   1.340   6.84   0.88   0.29
Y_Oph       4175017625462647168   17.12500   1.361   6.17   1.38   0.66
U_Sgr       4092905375639902464    6.74520   1.460   6.70   1.09   0.40
R_TrA       5824464493705913472    3.38930   1.475   6.66   0.72   0.13
T_Vul       1857884212378132096    4.43540   1.674   5.75   0.64   0.06
BG_Cru      6058439910929477120    3.34280   1.778   5.49   0.61   0.05
X_Sgr       4057701830728920064    7.01280   3.431   4.55   0.74   0.20
AZ_Cen      5334449269746243328    3.21190   0.425   8.64   0.65   0.16
QZ_Nor      5932565900081831040    3.78600   0.474   8.87   0.91   0.28
BY_Cas       511226491206912128    3.22150   0.481  10.37   1.31   0.80
VZ_CMa      5613541295473114496    3.12640   0.515   9.38   0.96   0.48
V532_Cyg    1971722045688053248    3.28360   0.561   9.09   1.04   0.53
EU_Tau      3398383973788673024    2.10230   0.805   8.09   0.66   0.17
V950_Sco    5960623272099513856    3.38030   0.840   7.30   0.78   0.27
V397_Car    5245796334347122944    2.06350   0.858   8.32   0.75   0.28
TT_Aql      4267397694768545920   13.75460   0.888   7.14   1.29   0.49
V482_Sco    4054440301294394624    4.52780   0.920   7.96   0.97   0.36
FM_Aql      4312361436842603520    6.11420   0.930   8.27   1.28   0.65
CO_Aur      3451987987438434944    1.78410   0.957   7.71   0.68   0.23
V350_Sgr    4080122796947250176    5.15420   0.986   7.48   0.91   0.31
BP_Cir      5877460679352962048    2.39810   0.995   7.56   0.70   0.23
AV_Cir      5848500161483878400    3.06520   1.016   7.44   0.91   0.40
IR_Cep      2203988169026743936    2.11410   1.133   7.78   0.89   0.43
AH_Vel      5519380077440172672    4.22720   1.217   5.70   0.58   0.07
SZ_Tau      3409635486731094400    3.14870   1.428   6.53   0.84   0.29
DT_Cyg      1853025642297186688    2.49920   1.706   5.77   0.54   0.04
FF_Aql      4514145288240593408    4.47080   1.810   5.37   0.76   0.22
AX_Vel      5519196703818908800    2.59290   0.616   8.20   0.69   0.22
UZ_Cen      5333340824575196800    3.33430   0.621   8.77   0.74   0.28
V381_Cen    5871738271033526016    5.07910   0.841   7.65   0.79   0.20
